time_us,abag_bias,abag_gain,abag_control,abag_ek_bar,local_vz
1665399, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1675526, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1685658, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1695778, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1705857, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1715980, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1726102, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1736222, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1746341, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1756462, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1766579, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1776710, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1786828, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1797078, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1807322, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1817576, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1827693, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1837800, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1848049, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1858172, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1868370, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1878490, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1888735, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1898864, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1909139, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1919381, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1929642, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1939893, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1949976, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1960187, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1970270, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1980352, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1990449, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2000565, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2010678, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2020802, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2030927, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2041047, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2051155, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2061265, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2071386, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2081510, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2091623, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2101699, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2111931, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2122038, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2132264, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2142382, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2152615, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2162742, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2172939, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2183181, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2193286, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2203403, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2213541, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2223792, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2233878, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2244135, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2254252, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2264456, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2274574, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2284846, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2294957, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2305239, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2315332, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2325419, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2335531, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2345660, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2355782, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2365882, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2376005, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2386136, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2396255, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2406379, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2416498, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2426615, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2436829, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2447068, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2457316, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2467556, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2477683, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
2487801, 0.000000, -0.001000, -0.001000, 0.250000, -0.000000
2497888, 0.000000, -0.001000, -0.001000, 0.250000, -0.000000
2508126, 0.000000, -0.001000, -0.001000, 0.250000, -0.000000
2518244, 0.000000, -0.002000, -0.002000, 0.437500, -0.000000
2528505, 0.000000, -0.003000, 0.003000, 0.078125, 0.064235
2538629, 0.000000, -0.004000, 0.004000, -0.191406, 0.065144
2548872, 0.000000, -0.006000, 0.006000, -0.170166, 0.066674
2559109, 0.000000, -0.007000, 0.007000, -0.377625, 0.066285
2569329, 0.000000, -0.008000, -0.008000, -0.033218, 0.032363
2579555, 0.000000, -0.009000, 0.009000, -0.274914, 0.067479
2589685, 0.000000, -0.011000, 0.011000, -0.217139, 0.070342
2599938, 0.000000, -0.012000, 0.012000, -0.412854, 0.075496
2610048, 0.000000, -0.013000, -0.013000, -0.059641, 0.039071
2620189, 0.000000, -0.014000, 0.014000, -0.294731, 0.079749
2630271, 0.000000, -0.016000, -0.016000, -0.103286, 0.044029
2640358, 0.000000, -0.017000, 0.017000, -0.327464, 0.092397
2650458, 0.000000, -0.018000, -0.018000, 0.004402, 0.047603
2660569, 0.000000, -0.019000, 0.019000, -0.246699, 0.100501
2670682, 0.000000, -0.019000, 0.019000, -0.576268, 0.054744
2680803, 0.000000, -0.018000, 0.018000, -0.682201, 0.117858
2690922, -0.001000, -0.017000, 0.016000, -0.761651, 0.120878
2701042, -0.002000, -0.016000, 0.014000, -0.821238, 0.064209
2711161, -0.004000, -0.014000, 0.010000, -0.899446, 0.066141
2721281, -0.005000, -0.013000, 0.008000, -0.924585, 0.140905
2731408, -0.006000, -0.012000, 0.006000, -0.943439, 0.145871
2741663, -0.007000, -0.011000, 0.004000, -0.957579, 0.074833
2751781, -0.009000, -0.009000, 0.000000, -0.976138, 0.159328
2761886, -0.010000, -0.008000, -0.002000, -0.982104, 0.082421
2772091, -0.011000, -0.007000, -0.004000, -0.986578, 0.166323
2782218, -0.012000, -0.006000, -0.006000, -0.989933, 0.084531
2792432, -0.014000, -0.004000, -0.010000, -0.994337, 0.183197
2802558, -0.015000, -0.003000, -0.012000, -0.995753, 0.089877
2812807, -0.016000, -0.002000, -0.014000, -0.996815, 0.184311
2822935, -0.017000, -0.001000, -0.016000, -0.997611, 0.184965
2833049, -0.019000, 0.001000, -0.020000, -0.998656, 0.190990
2843290, -0.020000, 0.002000, -0.022000, -0.998992, 0.192004
2853504, -0.021000, 0.003000, -0.024000, -0.999244, 0.097257
2863755, -0.022000, 0.004000, -0.026000, -0.999433, 0.196374
2873824, -0.023000, 0.005000, -0.028000, -0.999575, 0.200886
2884073, -0.025000, 0.007000, -0.032000, -0.999761, 0.200123
2894204, -0.026000, 0.008000, -0.034000, -0.999821, 0.099118
2904447, -0.027000, 0.009000, -0.036000, -0.999865, 0.201460
2914563, -0.028000, 0.010000, -0.038000, -0.999899, 0.098224
2924823, -0.030000, 0.012000, -0.042000, -0.999943, 0.193510
2934951, -0.031000, 0.013000, -0.044000, -0.999957, 0.192641
2945252, -0.032000, 0.014000, -0.046000, -0.999968, 0.093703
2955344, -0.033000, 0.015000, -0.048000, -0.999976, 0.182932
2965429, -0.035000, 0.017000, -0.052000, -0.999987, 0.091299
2975547, -0.036000, 0.018000, -0.054000, -0.999990, 0.179209
2985659, -0.037000, 0.019000, -0.056000, -0.999992, 0.087368
2995780, -0.038000, 0.020000, -0.058000, -0.999994, 0.180778
3005856, -0.040000, 0.022000, -0.062000, -0.999997, 0.084284
3015977, -0.041000, 0.023000, -0.064000, -0.999998, 0.165505
3026095, -0.042000, 0.024000, -0.066000, -0.999998, 0.162089
3036220, -0.043000, 0.025000, -0.068000, -0.999999, 0.079422
3046344, -0.045000, 0.027000, -0.072000, -0.999999, 0.150028
3056470, -0.046000, 0.028000, -0.074000, -0.999999, 0.076444
3066590, -0.047000, 0.029000, -0.076000, -1.000000, 0.147445
3076830, -0.048000, 0.030000, -0.078000, -1.000000, 0.069205
3087057, -0.050000, 0.032000, -0.082000, -1.000000, 0.137679
3097302, -0.051000, 0.033000, -0.084000, -1.000000, 0.063708
3107550, -0.052000, 0.034000, -0.086000, -1.000000, 0.127824
3117660, -0.053000, 0.035000, -0.088000, -1.000000, 0.127828
3127883, -0.055000, 0.037000, -0.092000, -1.000000, 0.118873
3137965, -0.056000, 0.038000, -0.094000, -1.000000, 0.059085
3148224, -0.057000, 0.039000, -0.096000, -1.000000, 0.120522
3158355, -0.058000, 0.040000, -0.098000, -1.000000, 0.117120
3168475, -0.060000, 0.042000, -0.102000, -1.000000, 0.111911
3178598, -0.061000, 0.043000, -0.104000, -1.000000, 0.109661
3188859, -0.062000, 0.044000, -0.106000, -1.000000, 0.054812
3199098, -0.063000, 0.045000, -0.108000, -1.000000, 0.103965
3209373, -0.064000, 0.046000, -0.110000, -1.000000, 0.106685
